,suburb,median_price,p_type
108,Brunswick East,995500,house
65,Brunswick East,521000,unit
52,Brunswick Lower,1267000,house
53,Brunswick Lower,590000,unit
54,Brunswick North,1267000,house
55,Brunswick North,590000,unit
56,Brunswick South,950000,house
57,Brunswick South,521000,unit
109,Brunswick West,1061000,house
66,Brunswick West,499000,unit
110,Bruthen,229000,house
58,Bulla,614125,house
59,Bulla,450250,unit
111,Bulleen,1100000,house
67,Bulleen,727000,unit
112,Bundalong,515000,house
113,Bundoora,727500,house
68,Bundoora,400000,unit
114,Buninyong,475000,house
115,Bunyip,501000,house
69,Bunyip,397500,unit
60,Bunyip North,553625,house
61,Bunyip North,429125,unit
116,Burnley,1188500,house
62,Burnley North,1382500,house
63,Burnley North,599125,unit
117,Burnside,605000,house
118,Burnside Heights,591000,house
119,Burwood,1165000,house
70,Burwood,740000,unit
120,Burwood East,1020000,house
71,Burwood East,660000,unit
64,Burwood Heights,1087375,house
65,Burwood Heights,687500,unit
121,Cairnlea,752500,house
72,Cairnlea,432500,unit
66,Calder Park,595750,house
67,Calder Park,435500,unit
122,California Gully,289000,house
73,California Gully,188500,unit
123,Camberwell,2100000,house
74,Camberwell,810000,unit
68,Camberwell East,1680000,house
69,Camberwell East,731000,unit
70,Camberwell North,1422875,house
71,Camberwell North,735500,unit
72,Camberwell South,1422875,house
73,Camberwell South,735500,unit
74,Camberwell West,1422875,house
75,Camberwell West,735500,unit
124,Campbellfield,534500,house
75,Campbellfield,343000,unit
125,Campbells Creek,500000,house
126,Camperdown,280000,house
127,Canadian,377500,house
76,Canadian,301500,unit
128,Cann River,125000,house
76,Cannons Creek,602500,house
77,Cannons Creek,430500,unit
129,Canterbury,2832500,house
77,Canterbury,1210000,unit
130,Cape Paterson,540000,house
131,Cape Schanck,940000,house
132,Capel Sound,515000,house
78,Capel Sound,540000,unit
78,Cardinia,598625,house
79,Cardinia,429375,unit
133,Carisbrook,300000,house
134,Carlton,1306000,house
79,Carlton,407500,unit
135,Carlton North,1555000,house
80,Carlton North,592000,unit
80,Carlton South,1326000,house
81,Carlton South,590750,unit
136,Carnegie,1310000,house
81,Carnegie,621000,unit
137,Caroline Springs,620000,house
82,Caroline Springs,465000,unit
138,Carrum,770000,house
83,Carrum,608000,unit
139,Carrum Downs,537500,house
84,Carrum Downs,431000,unit
140,Casterton,150000,house
141,Castlemaine,520000,house
85,Castlemaine,420000,unit
142,Caulfield,1658000,house
86,Caulfield,750500,unit
143,Caulfield East,1372500,house
87,Caulfield East,350000,unit
82,Caulfield Junction,1467500,house
83,Caulfield Junction,606750,unit
144,Caulfield North,2100000,house
88,Caulfield North,597000,unit
145,Caulfield South,1488000,house
89,Caulfield South,707000,unit
84,Central Park,1423750,house
85,Central Park,638250,unit
146,Chadstone,1000000,house
90,Chadstone,801000,unit
86,Chadstone Centre,1194500,house
87,Chadstone Centre,620875,unit
88,Chapel Street North,1382500,house
89,Chapel Street North,592000,unit
147,Charlemont,465000,house
148,Charlton,147000,house
149,Chelsea,857500,house
91,Chelsea,605500,unit
150,Chelsea Heights,750000,house
92,Chelsea Heights,610500,unit
151,Cheltenham,1035500,house
93,Cheltenham,575000,unit
152,Cheltenham East,940000,house
94,Cheltenham East,590000,unit
153,Cheltenham North,858000,house
95,Cheltenham North,620000,unit
154,Chewton,439500,house
155,Chiltern,223500,house
156,Chirnside Park,685000,house
