,region,ptype,cagr,yield,total
0,Inner Melbourne,H,0.0561861753475667,0.031288831467126,0.0874750068146927
1,Inner Melbourne,U,0.027687459760456,0.04102742760079265,0.06871488736124864
2,Metropolitan Melbourne,H,0.0595084587464669,0.029073482428115,0.0885819411745819
3,Metropolitan Melbourne,U,0.0416167175249679,0.0367714285714285,0.0783881460963964
4,Outer Metropolitan,H,0.0593211559383162,0.037759336099585,0.0970804920379012
5,Outer Metropolitan,U,0.0481223894689577,0.0422028985507246,0.0903252880196823
