,suburb
746,Upper Ferntree Gully
747,Upwey
752,Wandin North
753,Warburton
754,Warneet
756,Warrandyte
757,Warranwood
758,Waterways
759,Watsonia North
760,Wattle Glen
765,Wheelers Hill
769,Wonga Park
771,Woori Yallock
775,Yallambie
777,Yarra Glen
0,Altona Gate
1,Armadale North
2,Arthurs Creek
3,Arthurs Seat
4,Auburn
5,Auburn South
6,Avonsleigh
7,Balwyn East
8,Bangholme
9,Banyule
10,Batman
11,Beaconsfield Upper
12,Bedford Road
13,Beenak
14,Bellfield
15,Belvedere Park
16,Bend Of Islands
17,Bend of Islands
18,Bennettswood
19,Big Pats Creek
20,Black Rock North
21,Boneo
22,Box Hill Central
23,Braeside
24,Braybrook North
25,Brentford Square
26,Brighton North
27,Brighton Road
28,Brunswick Lower
29,Brunswick North
30,Brunswick South
31,Bulla
32,Bunyip North
33,Burnley North
34,Burwood Heights
35,Calder Park
36,Camberwell East
37,Camberwell North
38,Camberwell South
39,Camberwell West
40,Cannons Creek
41,Cardinia
42,Carlton South
43,Caulfield Junction
44,Central Park
45,Chadstone Centre
46,Chapel Street North
47,Christmas Hills
48,Clematis
49,Coatesville
50,Cocoroc
51,Collingwood North
52,Cora Lynn
53,Cotham
54,Cottles Bridge
55,Cromer
56,Dandenong East
57,Dandenong South
58,Darling
59,Deer Park East
60,Deer Park North
61,Dendy
62,Devon Meadows
63,Dewhurst
64,Dixons Creek
65,Don Valley
66,Doncaster Heights
67,Dunearn
68,Essendon Fields
69,Exford
70,Fawkner East
71,Fawkner North
72,Fountain Gate
73,Frankston East
74,Frankston Heights
75,Garfield North
76,Gilderoy
77,Gladysdale
78,Glengala
79,Greythorn
80,Gruyere
81,Guys Hill
82,Hampton North
83,Harkaway
84,Hartwell
85,Hawksburn
86,Hawthorn North
87,Hawthorn West
88,Highpoint City
89,Hillside
90,Hoddles Creek
91,Holmesglen
92,Hopetoun Gardens
93,Houston
94,Iona
95,Ivanhoe North
96,Kangaroo Ground
97,Karingal
98,Karingal Centre
99,Keilor North
100,Keon Park
101,Kerrimuir
102,Kingsville West
103,Knox City Centre
104,Kunyung
