,suburb,median_price,p_type,const,LGA
154,Burnley North,,unit,,Melbourne
159,Burnley North,,unit,,Stonnington
164,Burnley North,,unit,,Yarra
245,Burnside,,unit,,Brimbank
249,Burnside,,unit,,Melton
246,Burnside Heights,,unit,,Brimbank
250,Burnside Heights,,unit,,Melton
70,Burwood,740000.0,unit,1.0,
71,Burwood East,660000.0,unit,1.0,
708,Burwood Heights,,unit,,Monash
709,Burwood Heights,,unit,,Whitehorse
72,Cairnlea,432500.0,unit,1.0,
539,Calder Park,,unit,,Hume
74,Camberwell,810000.0,unit,1.0,
195,Camberwell East,,unit,,Boroondara
179,Camberwell North,,unit,,Boroondara
184,Camberwell North,,unit,,Whitehorse
180,Camberwell South,,unit,,Boroondara
185,Camberwell South,,unit,,Whitehorse
181,Camberwell West,,unit,,Boroondara
186,Camberwell West,,unit,,Whitehorse
75,Campbellfield,343000.0,unit,1.0,
399,Cannons Creek,,unit,,Cardinia
402,Cannons Creek,,unit,,Casey
405,Cannons Creek,,unit,,Frankston
408,Cannons Creek,,unit,,Greater Dandenong
77,Canterbury,1210000.0,unit,1.0,
729,Cape Schanck,,unit,,Mornington Peninsula
78,Capel Sound,540000.0,unit,1.0,
411,Cardinia,,unit,,Cardinia
413,Cardinia,,unit,,Casey
79,Carlton,407500.0,unit,1.0,
80,Carlton North,592000.0,unit,1.0,
667,Carlton South,,unit,,Melbourne
668,Carlton South,,unit,,Yarra
81,Carnegie,621000.0,unit,1.0,
82,Caroline Springs,465000.0,unit,1.0,
83,Carrum,608000.0,unit,1.0,
84,Carrum Downs,431000.0,unit,1.0,
86,Caulfield,750500.0,unit,1.0,
87,Caulfield East,350000.0,unit,1.0,
501,Caulfield Junction,,unit,,Glen Eira
502,Caulfield Junction,,unit,,Port Phillip
503,Caulfield Junction,,unit,,Stonnington
88,Caulfield North,597000.0,unit,1.0,
89,Caulfield South,707000.0,unit,1.0,
210,Central Park,,unit,,Boroondara
212,Central Park,,unit,,Glen Eira
214,Central Park,,unit,,Monash
216,Central Park,,unit,,Stonnington
90,Chadstone,801000.0,unit,1.0,
702,Chadstone Centre,,unit,,Monash
704,Chadstone Centre,,unit,,Stonnington
689,Chapel Street North,,unit,,Melbourne
690,Chapel Street North,,unit,,Port Phillip
691,Chapel Street North,,unit,,Stonnington
692,Chapel Street North,,unit,,Yarra
91,Chelsea,605500.0,unit,1.0,
92,Chelsea Heights,610500.0,unit,1.0,
93,Cheltenham,575000.0,unit,1.0,
94,Cheltenham East,590000.0,unit,1.0,
95,Cheltenham North,620000.0,unit,1.0,
96,Chirnside Park,610000.0,unit,1.0,
629,Christmas Hills,,unit,,Manningham
633,Christmas Hills,,unit,,Murrindindi
637,Christmas Hills,,unit,,Nillumbik
641,Christmas Hills,,unit,,Yarra Ranges
97,Clarinda,670000.0,unit,1.0,
98,Clayton,681000.0,unit,1.0,
100,Clayton South,507500.0,unit,1.0,
357,Clematis,,unit,,Cardinia
361,Clematis,,unit,,Yarra Ranges
101,Clifton Hill,607500.0,unit,1.0,
412,Clyde,,unit,,Cardinia
414,Clyde,,unit,,Casey
102,Clyde North,518500.0,unit,1.0,
504,Coatesville,,unit,,Glen Eira
505,Coatesville,,unit,,Kingston
506,Coatesville,,unit,,Monash
104,Coburg,542500.0,unit,1.0,
106,Coburg North,572000.0,unit,1.0,
350,Cockatoo,,unit,,Cardinia
353,Cockatoo,,unit,,Yarra Ranges
266,Cocoroc,,unit,,Brimbank
269,Cocoroc,,unit,,Greater Geelong
272,Cocoroc,,unit,,Hobsons Bay
275,Cocoroc,,unit,,Melton
278,Cocoroc,,unit,,Wyndham
762,Coldstream,,unit,,Nillumbik
765,Coldstream,,unit,,Yarra Ranges
108,Collingwood,591000.0,unit,1.0,
687,Collingwood North,,unit,,Melbourne
688,Collingwood North,,unit,,Yarra
537,Coolaroo,,unit,,Hume
395,Cora Lynn,,unit,,Cardinia
144,Cotham,,unit,,Boroondara
145,Cotham,,unit,,Yarra
737,Cottles Bridge,,unit,,Murrindindi
742,Cottles Bridge,,unit,,Nillumbik
747,Cottles Bridge,,unit,,Whittlesea
112,Craigieburn,380000.0,unit,1.0,
113,Cranbourne,362500.0,unit,1.0,
114,Cranbourne East,427500.0,unit,1.0,
115,Cranbourne North,425000.0,unit,1.0,
400,Cranbourne South,,unit,,Cardinia
403,Cranbourne South,,unit,,Casey
406,Cranbourne South,,unit,,Frankston
409,Cranbourne South,,unit,,Greater Dandenong
116,Cranbourne West,385000.0,unit,1.0,
117,Cremorne,870000.0,unit,1.0,
119,Crib Point,405000.0,unit,1.0,
134,Cromer,,unit,,Bayside
136,Cromer,,unit,,Kingston
120,Croydon,567000.0,unit,1.0,
626,Croydon Hills,,unit,,Manningham
627,Croydon Hills,,unit,,Maroondah
628,Croydon Hills,,unit,,Yarra Ranges
121,Croydon North,610000.0,unit,1.0,
122,Croydon South,652000.0,unit,1.0,
123,Dallas,429000.0,unit,1.0,
124,Dandenong,337000.0,unit,1.0,
434,Dandenong East,,unit,,Casey
438,Dandenong East,,unit,,Frankston
442,Dandenong East,,unit,,Greater Dandenong
446,Dandenong East,,unit,,Kingston
450,Dandenong East,,unit,,Knox
454,Dandenong East,,unit,,Monash
125,Dandenong North,430000.0,unit,1.0,
435,Dandenong South,,unit,,Casey
439,Dandenong South,,unit,,Frankston
443,Dandenong South,,unit,,Greater Dandenong
447,Dandenong South,,unit,,Kingston
451,Dandenong South,,unit,,Knox
455,Dandenong South,,unit,,Monash
211,Darling,,unit,,Boroondara
213,Darling,,unit,,Glen Eira
215,Darling,,unit,,Monash
217,Darling,,unit,,Stonnington
128,Deepdene,1060000.0,unit,1.0,
129,Deer Park,460000.0,unit,1.0,
244,Deer Park East,,unit,,Brimbank
247,Deer Park North,,unit,,Brimbank
251,Deer Park North,,unit,,Melton
130,Delahey,400000.0,unit,1.0,
119,Dendy,,unit,,Bayside
121,Dendy,,unit,,Glen Eira
123,Dendy,,unit,,Port Phillip
267,Derrimut,,unit,,Brimbank
270,Derrimut,,unit,,Greater Geelong
273,Derrimut,,unit,,Hobsons Bay
276,Derrimut,,unit,,Melton
279,Derrimut,,unit,,Wyndham
401,Devon Meadows,,unit,,Cardinia
404,Devon Meadows,,unit,,Casey
407,Devon Meadows,,unit,,Frankston
410,Devon Meadows,,unit,,Greater Dandenong
380,Dewhurst,,unit,,Cardinia
382,Dewhurst,,unit,,Casey
384,Dewhurst,,unit,,Yarra Ranges
131,Diamond Creek,661000.0,unit,1.0,
312,Diggers Rest,,unit,,Brimbank
313,Diggers Rest,,unit,,Hume
314,Diggers Rest,,unit,,Macedon Ranges
315,Diggers Rest,,unit,,Melton
132,Dingley Village,600000.0,unit,1.0,
630,Dixons Creek,,unit,,Manningham
634,Dixons Creek,,unit,,Murrindindi
638,Dixons Creek,,unit,,Nillumbik
642,Dixons Creek,,unit,,Yarra Ranges
133,Docklands,590000.0,unit,1.0,
319,Don Valley,,unit,,Cardinia
329,Don Valley,,unit,,Yarra Ranges
134,Doncaster,620000.0,unit,1.0,
