,suburb,median_price,p_type,const,LGA
256,Mount Cottrell,,unit,,Greater Geelong
258,Mount Cottrell,,unit,,Melton
260,Mount Cottrell,,unit,,Moorabool
262,Mount Cottrell,,unit,,Wyndham
773,Mount Dandenong,,unit,,Yarra Ranges
288,Mount Eliza,595000.0,unit,1.0,
289,Mount Evelyn,580000.0,unit,1.0,
290,Mount Martha,650000.0,unit,1.0,
292,Mount Waverley,954000.0,unit,1.0,
423,Mountain Gate,,unit,,Casey
427,Mountain Gate,,unit,,Knox
431,Mountain Gate,,unit,,Yarra Ranges
293,Mulgrave,731000.0,unit,1.0,
294,Murrumbeena,510000.0,unit,1.0,
352,Nangana,,unit,,Cardinia
355,Nangana,,unit,,Yarra Ranges
391,Nar Nar Goon,,unit,,Cardinia
392,Nar Nar Goon North,,unit,,Cardinia
297,Narre Warren,418000.0,unit,1.0,
366,Narre Warren East,,unit,,Cardinia
368,Narre Warren East,,unit,,Casey
370,Narre Warren East,,unit,,Knox
372,Narre Warren East,,unit,,Yarra Ranges
367,Narre Warren North,,unit,,Cardinia
369,Narre Warren North,,unit,,Casey
371,Narre Warren North,,unit,,Knox
373,Narre Warren North,,unit,,Yarra Ranges
458,Narre Warren South,,unit,,Casey
300,Newport,730000.0,unit,1.0,
302,Niddrie,656500.0,unit,1.0,
303,Noble Park,460000.0,unit,1.0,
513,Noble Park East,,unit,,Greater Dandenong
514,Noble Park East,,unit,,Monash
304,Noble Park North,515000.0,unit,1.0,
308,North Melbourne,477500.0,unit,1.0,
124,North Road,,unit,,Bayside
125,North Road,,unit,,Glen Eira
606,North Warrandyte,,unit,,Manningham
608,North Warrandyte,,unit,,Nillumbik
309,Northcote,585500.0,unit,1.0,
482,Northcote South,,unit,,Darebin
483,Northcote South,,unit,,Moreland
484,Northcote South,,unit,,Yarra
0,Northland Centre,,unit,,Banyule
4,Northland Centre,,unit,,Darebin
8,Northland Centre,,unit,,Moreland
310,Notting Hill,396000.0,unit,1.0,
312,Nunawading,590500.0,unit,1.0,
739,Nutfield,,unit,,Murrindindi
744,Nutfield,,unit,,Nillumbik
749,Nutfield,,unit,,Whittlesea
313,Oak Park,658000.0,unit,1.0,
542,Oaklands Junction,,unit,,Hume
314,Oakleigh,540000.0,unit,1.0,
315,Oakleigh East,791500.0,unit,1.0,
316,Oakleigh South,697500.0,unit,1.0,
318,Officer,430000.0,unit,1.0,
385,Officer South,,unit,,Cardinia
386,Officer South,,unit,,Casey
594,Olinda,,unit,,Knox
595,Olinda,,unit,,Yarra Ranges
319,Ormond,605000.0,unit,1.0,
321,Pakenham,370000.0,unit,1.0,
387,Pakenham South,,unit,,Cardinia
388,Pakenham Upper,,unit,,Cardinia
760,Panton Hill,,unit,,Nillumbik
610,Park Orchards,,unit,,Manningham
611,Park Orchards,,unit,,Maroondah
322,Parkdale,672000.0,unit,1.0,
323,Parkville,458000.0,unit,1.0,
324,Pascoe Vale,610000.0,unit,1.0,
325,Pascoe Vale South,600000.0,unit,1.0,
141,Patterson,,unit,,Bayside
142,Patterson,,unit,,Glen Eira
143,Patterson,,unit,,Kingston
326,Patterson Lakes,587500.0,unit,1.0,
465,Pearcedale,,unit,,Casey
466,Pearcedale,,unit,,Frankston
467,Pearcedale,,unit,,Mornington Peninsula
495,Pines Forest,,unit,,Frankston
706,Pinewood,,unit,,Monash
707,Pinewood,,unit,,Whitehorse
751,Plenty,,unit,,Nillumbik
752,Plenty,,unit,,Whittlesea
308,Plumpton,,unit,,Brimbank
310,Plumpton,,unit,,Melton
328,Point Cook,465000.0,unit,1.0,
715,Point Leo,,unit,,Mornington Peninsula
331,Port Melbourne,729000.0,unit,1.0,
735,Portsea,,unit,,Mornington Peninsula
66,Powelltown,,unit,,Baw Baw
70,Powelltown,,unit,,Cardinia
74,Powelltown,,unit,,Yarra Ranges
334,Prahran,590000.0,unit,1.0,
693,Prahran East,,unit,,Melbourne
694,Prahran East,,unit,,Port Phillip
695,Prahran East,,unit,,Stonnington
335,Preston,490000.0,unit,1.0,
1,Preston Lower,,unit,,Banyule
5,Preston Lower,,unit,,Darebin
9,Preston Lower,,unit,,Moreland
2,Preston South,,unit,,Banyule
6,Preston South,,unit,,Darebin
10,Preston South,,unit,,Moreland
3,Preston West,,unit,,Banyule
7,Preston West,,unit,,Darebin
11,Preston West,,unit,,Moreland
669,Princes Hill,,unit,,Melbourne
670,Princes Hill,,unit,,Moreland
671,Princes Hill,,unit,,Yarra
268,Quandong,,unit,,Brimbank
271,Quandong,,unit,,Greater Geelong
274,Quandong,,unit,,Hobsons Bay
277,Quandong,,unit,,Melton
280,Quandong,,unit,,Wyndham
621,Rangeview,,unit,,Manningham
623,Rangeview,,unit,,Maroondah
625,Rangeview,,unit,,Whitehorse
248,Ravenhall,,unit,,Brimbank
252,Ravenhall,,unit,,Melton
726,Red Hill,,unit,,Mornington Peninsula
727,Red Hill South,,unit,,Mornington Peninsula
80,Reefton,,unit,,Baw Baw
87,Reefton,,unit,,Mansfield
94,Reefton,,unit,,Murrindindi
101,Reefton,,unit,,Yarra Ranges
338,Research,672500.0,unit,1.0,
339,Reservoir,560500.0,unit,1.0,
13,Reservoir East,,unit,,Banyule
17,Reservoir East,,unit,,Darebin
21,Reservoir East,,unit,,Moreland
25,Reservoir East,,unit,,Whittlesea
14,Reservoir North,,unit,,Banyule
18,Reservoir North,,unit,,Darebin
22,Reservoir North,,unit,,Moreland
26,Reservoir North,,unit,,Whittlesea
15,Reservoir South,,unit,,Banyule
19,Reservoir South,,unit,,Darebin
23,Reservoir South,,unit,,Moreland
27,Reservoir South,,unit,,Whittlesea
340,Richmond,578500.0,unit,1.0,
150,Richmond East,,unit,,Boroondara
155,Richmond East,,unit,,Melbourne
160,Richmond East,,unit,,Stonnington
165,Richmond East,,unit,,Yarra
151,Richmond North,,unit,,Boroondara
156,Richmond North,,unit,,Melbourne
161,Richmond North,,unit,,Stonnington
166,Richmond North,,unit,,Yarra
152,Richmond South,,unit,,Boroondara
157,Richmond South,,unit,,Melbourne
162,Richmond South,,unit,,Stonnington
167,Richmond South,,unit,,Yarra
342,Ringwood,532000.0,unit,1.0,
343,Ringwood East,628000.0,unit,1.0,
344,Ringwood North,640000.0,unit,1.0,
345,Ripponlea,525500.0,unit,1.0,
229,Robinson,,unit,,Brimbank
231,Robinson,,unit,,Maribyrnong
233,Robinson,,unit,,Moonee Valley
309,Rockbank,,unit,,Brimbank
311,Rockbank,,unit,,Melton
347,Rosanna,685000.0,unit,1.0,
348,Rosebud,525000.0,unit,1.0,
731,Rosebud Plaza,,unit,,Mornington Peninsula
350,Rowville,578000.0,unit,1.0,
351,Roxburgh Park,401000.0,unit,1.0,
352,Rye,475000.0,unit,1.0,
389,Rythdale,,unit,,Cardinia
353,Safety Beach,665000.0,unit,1.0,
48,Saint Helena,,unit,,Banyule
49,Saint Helena,,unit,,Nillumbik
50,Saint Helena,,unit,,Whittlesea
357,Sandhurst,592500.0,unit,1.0,
510,Sandown Village,,unit,,Greater Dandenong
511,Sandown Village,,unit,,Kingston
512,Sandown Village,,unit,,Monash
358,Sandringham,781000.0,unit,1.0,
590,Sassafras,,unit,,Knox
592,Sassafras,,unit,,Yarra Ranges
591,Sassafras Gully,,unit,,Knox
593,Sassafras Gully,,unit,,Yarra Ranges
359,Scoresby,574500.0,unit,1.0,
532,Seabrook,,unit,,Hobsons Bay
533,Seabrook,,unit,,Wyndham
360,Seaford,495000.0,unit,1.0,
526,Seaholme,,unit,,Hobsons Bay
527,Seaholme,,unit,,Wyndham
362,Seddon,696000.0,unit,1.0,
645,Seddon West,,unit,,Maribyrnong
646,Seddon West,,unit,,Melbourne
647,Seddon West,,unit,,Moonee Valley
339,Selby,,unit,,Cardinia
341,Selby,,unit,,Yarra Ranges
322,Seville,,unit,,Cardinia
332,Seville,,unit,,Yarra Ranges
323,Seville East,,unit,,Cardinia
333,Seville East,,unit,,Yarra Ranges
774,Sherbrooke,,unit,,Yarra Ranges
716,Shoreham,,unit,,Mornington Peninsula
777,Silvan,,unit,,Yarra Ranges
365,Skye,445000.0,unit,1.0,
761,Smiths Gully,,unit,,Nillumbik
721,Somers,,unit,,Mornington Peninsula
540,Somerton,,unit,,Hume
541,Somerton,,unit,,Whittlesea
367,Somerville,453500.0,unit,1.0,
368,Sorrento,890000.0,unit,1.0,
369,South Kingsville,643000.0,unit,1.0,
370,South Melbourne,582500.0,unit,1.0,
371,South Morang,407000.0,unit,1.0,
372,South Yarra,580000.0,unit,1.0,
373,Southbank,582500.0,unit,1.0,
131,Southland Centre,,unit,,Bayside
132,Southland Centre,,unit,,Kingston
374,Spotswood,650000.0,unit,1.0,
376,Springvale,508000.0,unit,1.0,
377,Springvale South,470000.0,unit,1.0,
378,St Albans,430000.0,unit,1.0,
732,St Andrews Beach,,unit,,Mornington Peninsula
779,St Helena,,unit,,Banyule
380,St Kilda,535000.0,unit,1.0,
381,St Kilda East,590000.0,unit,1.0,
382,St Kilda West,595000.0,unit,1.0,
631,Steels Creek,,unit,,Manningham
635,Steels Creek,,unit,,Murrindindi
639,Steels Creek,,unit,,Nillumbik
643,Steels Creek,,unit,,Yarra Ranges
740,Strathewen,,unit,,Murrindindi
745,Strathewen,,unit,,Nillumbik
750,Strathewen,,unit,,Whittlesea
386,Strathmore,732000.0,unit,1.0,
711,Strathmore Heights,,unit,,Moonee Valley
712,Strathmore Heights,,unit,,Moreland
389,Sunbury,395000.0,unit,1.0,
390,Sunshine,390000.0,unit,1.0,
391,Sunshine North,512000.0,unit,1.0,
392,Sunshine West,480000.0,unit,1.0,
393,Surrey Hills,756000.0,unit,1.0,
196,Surrey Hills North,,unit,,Boroondara
197,Surrey Hills North,,unit,,Whitehorse
190,Surrey Hills South,,unit,,Boroondara
192,Surrey Hills South,,unit,,Monash
194,Surrey Hills South,,unit,,Whitehorse
395,Sydenham,416000.0,unit,1.0,
396,Syndal,880000.0,unit,1.0,
397,Tarneit,388000.0,unit,1.0,
632,Tarrawarra,,unit,,Manningham
636,Tarrawarra,,unit,,Murrindindi
640,Tarrawarra,,unit,,Nillumbik
644,Tarrawarra,,unit,,Yarra Ranges
286,Taylors Hill,,unit,,Brimbank
288,Taylors Hill,,unit,,Hume
290,Taylors Hill,,unit,,Melton
292,Taylors Lakes,,unit,,Brimbank
345,Tecoma,,unit,,Cardinia
349,Tecoma,,unit,,Yarra Ranges
399,Templestowe,740000.0,unit,1.0,
400,Templestowe Lower,765000.0,unit,1.0,
582,The Basin,,unit,,Knox
583,The Basin,,unit,,Yarra Ranges
775,The Patch,,unit,,Yarra Ranges
603,The Pines,,unit,,Manningham
605,The Pines,,unit,,Whitehorse
401,Thomastown,457500.0,unit,1.0,
403,Thornbury,602000.0,unit,1.0,
67,Three Bridges,,unit,,Baw Baw
71,Three Bridges,,unit,,Cardinia
75,Three Bridges,,unit,,Yarra Ranges
106,Tonimbuk,,unit,,Baw Baw
109,Tonimbuk,,unit,,Cardinia
416,Tooradin,,unit,,Cardinia
419,Tooradin,,unit,,Casey
404,Toorak,1085500.0,unit,1.0,
733,Tootgarook,,unit,,Mornington Peninsula
219,Tottenham,,unit,,Brimbank
221,Tottenham,,unit,,Hobsons Bay
223,Tottenham,,unit,,Maribyrnong
225,Tottenham,,unit,,Moonee Valley
227,Tottenham,,unit,,Wyndham
408,Travancore,348000.0,unit,1.0,
586,Tremont,,unit,,Knox
587,Tremont,,unit,,Yarra Ranges
409,Truganina,415000.0,unit,1.0,
713,Tuerong,,unit,,Mornington Peninsula
410,Tullamarine,480000.0,unit,1.0,
411,Tyabb,443000.0,unit,1.0,
393,Tynong,,unit,,Cardinia
394,Tynong North,,unit,,Cardinia
663,University Of Melbourne,,unit,,Melbourne
424,Upper Ferntree Gully,,unit,,Casey
428,Upper Ferntree Gully,,unit,,Knox
432,Upper Ferntree Gully,,unit,,Yarra Ranges
584,Upwey,,unit,,Knox
585,Upwey,,unit,,Yarra Ranges
412,Vermont,725000.0,unit,1.0,
413,Vermont South,772500.0,unit,1.0,
398,Vervale,,unit,,Cardinia
414,Viewbank,643500.0,unit,1.0,
324,Wandin East,,unit,,Cardinia
334,Wandin East,,unit,,Yarra Ranges
325,Wandin North,,unit,,Cardinia
335,Wandin North,,unit,,Yarra Ranges
418,Wantirna,635000.0,unit,1.0,
419,Wantirna South,495000.0,unit,1.0,
81,Warburton,,unit,,Baw Baw
88,Warburton,,unit,,Mansfield
95,Warburton,,unit,,Murrindindi
102,Warburton,,unit,,Yarra Ranges
417,Warneet,,unit,,Cardinia
420,Warneet,,unit,,Casey
607,Warrandyte,,unit,,Manningham
609,Warrandyte,,unit,,Nillumbik
565,Warrandyte South,,unit,,Knox
567,Warrandyte South,,unit,,Manningham
569,Warrandyte South,,unit,,Maroondah
571,Warrandyte South,,unit,,Whitehorse
566,Warranwood,,unit,,Knox
568,Warranwood,,unit,,Manningham
570,Warranwood,,unit,,Maroondah
572,Warranwood,,unit,,Whitehorse
293,Watergardens,,unit,,Brimbank
517,Waterways,,unit,,Greater Dandenong
520,Waterways,,unit,,Kingston
422,Watsonia,495000.0,unit,1.0,
45,Watsonia North,,unit,,Banyule
46,Watsonia North,,unit,,Darebin
47,Watsonia North,,unit,,Nillumbik
598,Watsons Creek,,unit,,Manningham
601,Watsons Creek,,unit,,Nillumbik
755,Wattle Glen,,unit,,Nillumbik
770,Wattle Park,,unit,,Whitehorse
507,Waverley Gardens,,unit,,Greater Dandenong
508,Waverley Gardens,,unit,,Knox
509,Waverley Gardens,,unit,,Monash
424,Werribee,380000.0,unit,1.0,
425,Werribee South,465000.0,unit,1.0,
82,Wesburn,,unit,,Baw Baw
89,Wesburn,,unit,,Mansfield
96,Wesburn,,unit,,Murrindindi
103,Wesburn,,unit,,Yarra Ranges
426,West Footscray,450000.0,unit,1.0,
427,West Melbourne,599000.0,unit,1.0,
431,Westmeadows,510500.0,unit,1.0,
432,Wheelers Hill,803000.0,unit,1.0,
558,Wildwood,,unit,,Hume
559,Wildwood,,unit,,Macedon Ranges
560,Wildwood,,unit,,Melton
436,Williams Landing,395000.0,unit,1.0,
437,Williamstown,600000.0,unit,1.0,
438,Williamstown North,737500.0,unit,1.0,
440,Windsor,487500.0,unit,1.0,
128,Wishart,,unit,,Bayside
129,Wishart,,unit,,Glen Eira
130,Wishart,,unit,,Kingston
442,Wollert,420000.0,unit,1.0,
612,Wonga Park,,unit,,Manningham
613,Wonga Park,,unit,,Maroondah
614,Wonga Park,,unit,,Nillumbik
615,Wonga Park,,unit,,Yarra Ranges
561,Woodstock,,unit,,Hume
562,Woodstock,,unit,,Mitchell
563,Woodstock,,unit,,Whittlesea
326,Woori Yallock,,unit,,Cardinia
336,Woori Yallock,,unit,,Yarra Ranges
659,World Trade Centre,,unit,,Melbourne
445,Wyndham Vale,378000.0,unit,1.0,
42,Yallambie,,unit,,Banyule
44,Yallambie,,unit,,Darebin
758,Yan Yean,,unit,,Nillumbik
759,Yan Yean,,unit,,Whittlesea
446,Yarra Glen,425000.0,unit,1.0,
447,Yarra Junction,461500.0,unit,1.0,
753,Yarrambat,,unit,,Nillumbik
754,Yarrambat,,unit,,Whittlesea
448,Yarraville,654000.0,unit,1.0,
523,Yarraville West,,unit,,Hobsons Bay
524,Yarraville West,,unit,,Maribyrnong
525,Yarraville West,,unit,,Melbourne
327,Yellingbo,,unit,,Cardinia
337,Yellingbo,,unit,,Yarra Ranges
764,Yering,,unit,,Nillumbik
767,Yering,,unit,,Yarra Ranges
543,Yuroke,,unit,,Hume
