,suburb,Count,price,yield,cagr,ptype,total_income
84,Sydenham,255.5625,295000,0.05640677966101695,0.04378825075164805,U,0.100195030412665
85,Werribee,504.78125,261500,0.0497131931166348,0.04790198724587502,U,0.09761518036250982
86,Hoppers Crossing,504.78125,290000,0.04482758620689655,0.05262928277950518,U,0.09745686898640174
87,West Footscray,717.75,410000,0.04058536585365854,0.0346804744311946,U,0.07526584028485314
88,Williamstown,295.4375,570000,0.02919298245614035,0.04308728472613499,U,0.07228026718227534
89,Yarraville,308.125,525000,0.031695238095238096,0.04653309108207471,U,0.0782283291773128
90,Seddon,308.125,430500,0.0386527293844367,0.07411111898245104,U,0.11276384836688774
91,Broadmeadows,212.96875,300000,0.052,0.030497927125102908,U,0.0824979271251029
92,Roxburgh Park,212.96875,314000,0.049681528662420385,0.1004298569211246,U,0.15011138558354498
93,Brunswick,1317.6875,480000,0.042791666666666665,0.023957396055257263,U,0.06674906272192394
94,Coburg,401.46875,454000,0.04008810572687225,0.03355481259826765,U,0.07364291832513989
95,Pascoe Vale South,401.46875,440000,0.041363636363636366,0.03868487807224974,U,0.0800485144358861
96,Craigieburn,210.25,335000,0.046567164179104475,0.03286863695822495,U,0.07943580113732943
97,Essendon,1569.625,469000,0.036921108742004265,0.02281131703734318,U,0.059732425779347446
98,Tullamarine,116.0,339000,0.044483775811209436,0.04812238946895775,U,0.09260616528016719
99,Moonee Ponds,529.25,475000,0.03831578947368421,0.01662611626980448,U,0.05494190574348869
100,Ascot Vale,529.25,500000,0.0364,0.018517870473615083,U,0.054917870473615085
101,Oak Park,405.3958333333333,470000,0.034297872340425535,0.04921175695798463,U,0.08350962929841016
102,Glenroy,405.3958333333333,400000,0.0403,0.03780624744619865,U,0.07810624744619865
103,Fawkner,405.3958333333333,345000,0.04672463768115942,0.03922360193915364,U,0.08594823962031306
104,Pascoe Vale,396.9375,463000,0.037062634989200864,0.043363630236575856,U,0.08042626522577673
105,Coburg North,396.9375,412000,0.0416504854368932,0.05448667467646162,U,0.09613716011335482
106,Sunbury,203.0,316000,0.047721518987341775,0.042707205681605576,U,0.09042872466894736
107,Bundoora,343.7708333333333,406000,0.040985221674876844,0.00919877035895622,U,0.050183992033833065
108,Greensborough,343.7708333333333,446000,0.03730941704035874,0.04670894053619912,U,0.08401835757655786
109,Eltham,72.5,493000,0.03385801217038539,0.04935583239689367,U,0.08321384456727907
110,Research,72.5,512000,0.0326015625,0.0433354435526887,U,0.0759370060526887
111,Montmorency,72.5,490500,0.03403058103975535,0.05395860706702127,U,0.08798918810677661
112,Fairfield,203.90625,489500,0.036649642492339124,0.03817120858400269,U,0.07482085107634182
113,Alphington,203.90625,695500,0.025794392523364486,0.07853667357309835,U,0.10433106609646284
114,Heidelberg,370.65625,515000,0.03433009708737864,0.042174997716953655,U,0.07650509480433229
115,Heidelberg West,370.65625,386500,0.04574385510996119,0.04613224143782069,U,0.09187609654778188
116,Ivanhoe,254.65625,544000,0.033455882352941176,0.019582283956475877,U,0.05303816630941705
117,Ivanhoe East,254.65625,562000,0.03238434163701068,0.03216352424263769,U,0.06454786587964836
118,Mill Park,241.96875,357000,0.043697478991596636,0.037703637256510714,U,0.08140111624810735
119,Epping,241.96875,310500,0.050241545893719805,0.024176823417079385,U,0.07441836931079919
120,Northcote,715.9375,530000,0.04120754716981132,0.04696585354340499,U,0.0881734007132163
121,Preston,989.625,440000,0.041363636363636366,0.021785883629891867,U,0.06314951999352823
122,Reservoir,1417.375,381000,0.042309711286089235,0.05125886226952581,U,0.09356857355561504
123,Thomastown,260.09375,300000,0.05026666666666667,0.05145607102700045,U,0.10172273769366712
124,Lalor,260.09375,315000,0.04787301587301587,0.04578011992546105,U,0.09365313579847692
125,Thornbury,665.1875,459500,0.038476605005440694,0.04383304757002571,U,0.08230965257546641
126,Whittlesea,87.0,280000,0.052,0.03453361748045913,U,0.08653361748045912
127,Bayswater,389.6875,387000,0.040310077519379844,0.057397911485206565,U,0.09770798900458641
128,Boronia,465.8125,410000,0.04058536585365854,0.05219574103081426,U,0.0927811068844728
129,Croydon,440.4375,409000,0.03941320293398533,0.05626021382328483,U,0.09567341675727016
130,Lilydale,440.4375,366500,0.04398362892223738,0.04812238946895775,U,0.09210601839119513
131,Ferntree Gully,230.1875,405000,0.03851851851851852,0.050311829886509285,U,0.0888303484050278
132,Ringwood,1121.9375,445000,0.036808988764044946,0.04426146888934879,U,0.08107045765339374
133,Rowville,119.625,390000,0.044,0.04365906300479705,U,0.08765906300479705
134,Wantirna,118.71875,460000,0.03843478260869565,0.054504195331628535,U,0.09293897794032419
135,Scoresby,118.71875,455000,0.038857142857142854,0.04976009928713254,U,0.0886172421442754
136,Berwick,184.875,380000,0.04105263157894737,0.04043773876662904,U,0.08149037034557641
137,Cranbourne,322.625,265000,0.0529811320754717,0.048382968917165536,U,0.10136410099263723
138,Dandenong,1460.875,307000,0.0457328990228013,0.02203568801049416,U,0.06776858703329547
139,Dandenong North,206.625,325500,0.044731182795698925,0.045715574227696676,U,0.09044675702339561
140,Endeavour Hills,206.625,345000,0.042202898550724635,0.036683917090882145,U,0.07888681564160678
141,Narre Warren,178.53125,295000,0.05023728813559322,0.05169907012627695,U,0.10193635826187017
142,Hampton Park,178.53125,285000,0.052,0.03818017112287686,U,0.09018017112287685
143,Noble Park,917.125,322500,0.045953488372093024,0.04977720840486577,U,0.09573069677695879
144,Pakenham,335.3125,279500,0.04837209302325581,0.044236930075948866,U,0.09260902309920468
145,Springvale,1033.125,415000,0.037590361445783135,0.04097063730603279,U,0.07856099875181592
146,Dromana,198.46875,467500,0.028919786096256686,0.05018707894126284,U,0.07910686503751953
147,Frankston,1301.375,300000,0.0468,0.056163924872131954,U,0.10296392487213196
148,Hastings,147.71875,285000,0.04926315789473684,0.04974867836138763,U,0.09901183625612447
149,Mornington,137.75,462500,0.034854054054054055,0.06393105928800868,U,0.09878511334206275
150,Seaford,250.125,350000,0.0416,0.0586312667401252,U,0.1002312667401252
151,Carrum Downs,250.125,302500,0.048132231404958675,0.047879515444203324,U,0.096011746849162
152,Belmont,307.21875,298000,0.04885906040268456,0.05236792634055498,U,0.10122698674323954
153,Grovedale,307.21875,245000,0.05942857142857143,0.04870206092222551,U,0.10813063235079694
154,Corio,155.875,235000,0.054212765957446805,0.03946760565124441,U,0.09368037160869122
155,Geelong,276.40625,495000,0.02993939393939394,0.051136815750499665,U,0.0810762096898936
156,Herne Hill,138.65625,223500,0.05932885906040269,0.054550450267856654,U,0.11387930932825935
157,Geelong West,138.65625,340000,0.039,0.05971320381426781,U,0.09871320381426782
158,Lara,96.0625,265000,0.04905660377358491,0.03199961501271953,U,0.08105621878630444
159,North Geelong,235.625,256000,0.05484375,0.05805846116929625,U,0.11290221116929625
160,Mount Clear,29.0,256500,0.0482495126705653,0.035162901413984704,U,0.08341241408455
161,Sebastopol,135.9375,210000,0.05447619047619048,0.0167280403765524,U,0.07120423085274288
162,Wendouree,116.90625,240000,0.04658333333333333,0.04734914926430567,U,0.093932482597639
163,Alfredton,116.90625,233500,0.04788008565310493,0.04063081613258812,U,0.08851090178569304
164,Bendigo,177.625,308500,0.038768233387358186,0.001836598351406149,U,0.040604831738764335
165,Flora Hill,254.65625,261500,0.04772466539196941,0.02003822921545395,U,0.06776289460742335
166,Golden Square,66.15625,270000,0.04814814814814815,0.02955829585923242,U,0.07770644400738057
167,Kangaroo Flat,66.15625,227500,0.05714285714285714,0.02098100681516013,U,0.07812386395801726
168,North Bendigo,280.9375,222500,0.05562247191011236,0.021129308243661438,U,0.07675178015377379
