,Suburb,Median
245,Scoresby,450.0
246,Seabrook,470.0
247,Seaford,390.0
248,Seaholme,470.0
249,Seddon,480.0
250,Skye,386.6666666666667
251,South Kingsville,470.0
252,South Melbourne,430.0
253,South Morang,374.0
254,South Yarra,400.0
255,Southbank,400.0
256,Spotswood,490.0
257,Springvale,390.0
258,Springvale South,363.75
259,St Albans,350.0
260,St Helena,438.25
261,St Kilda,380.0
262,Strathmore,405.0
263,Strathmore Heights,405.0
264,Sunbury,380.0
265,Sunshine,350.0
266,Sunshine North,381.42857142857144
267,Sunshine West,381.42857142857144
268,Surrey Hills,495.0
269,Sydenham,400.0
270,Tarneit,360.0
271,Taylors Hill,350.0
272,Taylors Lakes,381.42857142857144
273,Templestowe,480.0
274,Templestowe Lower,470.0
275,The Basin,429.1666666666667
276,Thomastown,360.0
277,Thornbury,400.0
278,Toorak,500.0
279,Travancore,405.0
280,Truganina,350.0
281,Tullamarine,390.0
282,Vermont,450.0
283,Vermont South,428.0
284,Viewbank,438.25
285,Viewbank,438.25
286,Wantirna,450.0
287,Wantirna South,429.1666666666667
288,Warrandyte,470.0
289,Warranwood,427.5
290,Waterways,440.0
291,Watsonia,438.25
292,Watsonia North,438.25
293,Werribee,360.0
294,Werribee South,360.0
295,West Footscray,395.0
296,West Melbourne,375.0
297,Westmeadows,380.3333333333333
298,Wheelers Hill,446.25
299,Whittlesea,390.0
300,Wildwood,380.3333333333333
301,Williams Landing,360.0
302,Williamstown,500.0
303,Williamstown North,470.0
304,Windsor,420.0
305,Wollert,374.0
306,Wonga Park,470.0
307,Wyndham Vale,360.0
308,Yallambie,438.25
309,Yarraville,480.0
310,West St Kilda,500.0
311,CBD,370.0
312,St Kilda Rd,370.0
313,East St Kilda,385.0
314,East Hawthorn,400.0
315,Pascoe Vale South,450.0
316,East Brunswick,410.0
317,West Brunswick,360.0
318,Hurstbridge,410.0
319,Research,460.0
320,Lilydale,425.0
321,Yarra Ranges,410.0
322,Pakenham,365.0
323,Dromana,440.0
324,Portsea,440.0
325,Hastings,420.0
326,Flinders,420.0
327,Mt Eliza,541.0
328,Mornington,541.0
329,Mt Martha,541.0
330,Belmont,400.0
331,Grovedale,400.0
332,Corio,300.0
333,Geelong,370.0
334,Newcombe,370.0
335,Herne Hill,370.0
336,Geelong West,370.0
337,Lara,415.0
338,Newtown,400.0
339,North Geelong,370.0
340,Group Total,375.0
341,Group Total,340.0
342,Group Total,340.0
343,Ballarat,330.0
344,Mount Clear,350.0
345,Buninyong,350.0
346,Sebastopol,330.0
347,Delacombe,330.0
348,Wendouree,360.0
349,Alfredton,360.0
350,Bendigo,350.0
351,Flora Hill,340.0
352,Bendigo East,340.0
353,Golden Square,340.0
354,Kangaroo Flat,340.0
355,North Bendigo,345.0
356,Bairnsdale,330.0
357,Benalla,330.0
358,Castlemaine,375.0
359,Echuca,360.0
360,Hamilton,280.0
361,Horsham,300.0
362,Mildura,330.0
363,Moe,260.0
364,Newborough,260.0
365,Morwell,250.0
366,Ocean Grove,480.0
367,Barwon Heads,480.0
368,Portland,345.0
369,Sale,330.0
370,Maffra,330.0
371,Seymour,300.0
372,Shepparton,310.0
373,Swan Hill,295.0
374,Torquay,540.0
375,Traralgon,345.0
376,Wanagaratta,330.0
377,Warragul,380.0
378,Warrnambool,360.0
379,Wodonga,350.0
