,suburb,median_rent,Count
321,La Trobe University,387.5,
322,Laburnum,417.5,
324,Lalor Plaza,345.75,
325,Langwarrin,327.5,
326,Langwarrin South,325.0,
327,Launching Place,335.0,
328,Laverton,354.0,
329,Laverton North,343.0,
330,Laverton Raaf,354.0,
332,Little River,320.0,
333,Lower Plenty,400.0,
334,Lynbrook,347.5,
335,Lyndhurst,347.5,
336,Lysterfield,360.0,
337,Lysterfield South,360.0,
338,Macclesfield,335.0,
339,Macleod,402.5,
340,Macleod West,402.5,
341,Maidstone,378.0,
342,Main Ridge,325.0,
345,Malvern North,460.0,
346,Mambourin,325.0,
347,Manor Lakes,330.0,
348,Maribyrnong,401.25,
349,Maryknoll,310.0,
350,McCrae,325.0,
351,Mccrae,325.0,
352,McKinnon,460.0,
353,Mcmahons Creek,365.0,
354,Meadow Heights,346.5,
355,Melbourne,505.0,
356,Melbourne Airport,344.75,
357,Melbourne University,402.5,
358,Melton South,325.0,
360,Mentone East,421.25,
361,Menzies Creek,335.0,
362,Merlynston,402.5,
363,Mernda,360.0,
364,Merricks,325.0,
365,Merricks Beach,325.0,
366,Merricks North,325.0,
367,Mickleham,343.75,
368,Middle Camberwell,440.0,
371,Millgrove,365.0,
373,Mitcham North,405.0,
374,Monash University,420.0,
375,Monbulk,360.0,
377,Mont Albert North,430.0,
379,Montrose,360.0,
381,Moonee Vale,402.5,
382,Moorabbin,460.0,
383,Moorabbin Airport,421.25,
384,Moorooduc,325.0,
385,Mooroolbark,370.0,
386,Morang South,360.0,
388,Moreland,402.5,
389,Moreland West,402.5,
391,Mount Burnett,335.0,
392,Mount Cottrell,325.0,
393,Mount Dandenong,360.0,
394,Mount Eliza,325.0,
395,Mount Evelyn,360.0,
396,Mount Martha,325.0,
398,Mountain Gate,360.0,
401,Nangana,335.0,
402,Nar Nar Goon,310.0,
403,Nar Nar Goon North,310.0,
405,Narre Warren East,345.0,
406,Narre Warren North,345.0,
407,Narre Warren South,330.0,
409,Niddrie,373.25,
411,Noble Park East,392.5,
412,Noble Park North,392.5,
414,North Road,461.25,
415,North Warrandyte,390.0,
417,Northcote South,405.0,
418,Northland Centre,400.0,
419,Notting Hill,380.0,
421,Nutfield,370.0,
423,Oaklands Junction,346.5,
425,Oakleigh East,460.0,
426,Oakleigh South,420.0,
427,Officer,320.0,
428,Officer South,320.0,
429,Olinda,365.0,
430,Ormond,460.0,
432,Pakenham South,310.0,
433,Pakenham Upper,310.0,
434,Panton Hill,375.0,
435,Park Orchards,392.5,
440,Patterson,460.0,
441,Patterson Lakes,365.0,
442,Pearcedale,325.0,
443,Pines Forest,325.0,
444,Pinewood,425.0,
445,Plenty,360.0,
446,Plumpton,331.5,
447,Point Cook,330.0,
448,Point Leo,325.0,
451,Powelltown,335.0,
453,Prahran East,500.0,
455,Preston Lower,400.0,
456,Preston South,400.0,
457,Preston West,400.0,
458,Princes Hill,510.0,
459,Quandong,330.0,
460,Rangeview,405.0,
461,Ravenhall,331.5,
462,Red Hill,325.0,
463,Red Hill South,325.0,
464,Reefton,365.0,
467,Reservoir East,400.0,
468,Reservoir North,400.0,
469,Reservoir South,400.0,
471,Richmond East,495.0,
472,Richmond North,495.0,
473,Richmond South,495.0,
475,Ringwood East,375.0,
476,Ringwood North,392.5,
477,Ripponlea,462.5,
478,Robinson,395.0,
