,suburb,median_rent,Count
319,Kooyong,670.0,
320,Kunyung,381.25,
321,La Trobe University,450.0,
322,Laburnum,460.0,
324,Lalor Plaza,385.0,
325,Langwarrin,370.0,
326,Langwarrin South,370.0,
327,Launching Place,385.0,
328,Laverton,451.25,
329,Laverton North,390.0,
330,Laverton Raaf,451.25,
332,Little River,363.75,
333,Lower Plenty,460.0,
334,Lynbrook,392.5,
335,Lyndhurst,392.5,
336,Lysterfield,400.0,
337,Lysterfield South,400.0,
338,Macclesfield,385.0,
339,Macleod,512.75,
340,Macleod West,512.75,
341,Maidstone,495.0,
342,Main Ridge,392.5,
345,Malvern North,670.0,
346,Mambourin,366.25,
347,Manor Lakes,372.5,
348,Maribyrnong,522.5,
349,Maryknoll,370.0,
350,McCrae,392.5,
351,Mccrae,392.5,
352,McKinnon,670.0,
353,Mcmahons Creek,405.0,
354,Meadow Heights,390.0,
355,Melbourne,760.0,
356,Melbourne Airport,390.0,
357,Melbourne University,495.0,
358,Melton South,366.25,
360,Mentone East,588.75,
361,Menzies Creek,385.0,
362,Merlynston,527.75,
363,Mernda,407.5,
364,Merricks,392.5,
365,Merricks Beach,392.5,
366,Merricks North,392.5,
367,Mickleham,377.5,
368,Middle Camberwell,555.0,
371,Millgrove,405.0,
373,Mitcham North,460.0,
374,Monash University,460.0,
375,Monbulk,400.0,
377,Mont Albert North,460.0,
379,Montrose,400.0,
381,Moonee Vale,495.0,
382,Moorabbin,670.0,
383,Moorabbin Airport,588.75,
384,Moorooduc,392.5,
385,Mooroolbark,410.0,
386,Morang South,407.5,
388,Moreland,527.75,
389,Moreland West,495.0,
391,Mount Burnett,385.0,
392,Mount Cottrell,366.25,
393,Mount Dandenong,400.0,
394,Mount Eliza,381.25,
395,Mount Evelyn,400.0,
396,Mount Martha,392.5,
398,Mountain Gate,400.0,
401,Nangana,385.0,
402,Nar Nar Goon,370.0,
403,Nar Nar Goon North,370.0,
405,Narre Warren East,385.0,
406,Narre Warren North,385.0,
407,Narre Warren South,370.0,
409,Niddrie,442.5,
411,Noble Park East,437.5,
412,Noble Park North,437.5,
414,North Road,691.25,
415,North Warrandyte,447.5,
417,Northcote South,560.5,
418,Northland Centre,495.0,
419,Notting Hill,460.0,
421,Nutfield,410.0,
423,Oaklands Junction,390.0,
425,Oakleigh East,670.0,
426,Oakleigh South,465.0,
427,Officer,370.0,
428,Officer South,370.0,
429,Olinda,410.0,
430,Ormond,670.0,
432,Pakenham South,370.0,
433,Pakenham Upper,370.0,
434,Panton Hill,435.0,
435,Park Orchards,440.0,
440,Patterson,670.0,
441,Patterson Lakes,415.0,
442,Pearcedale,370.0,
443,Pines Forest,370.0,
444,Pinewood,460.0,
445,Plenty,407.5,
446,Plumpton,375.0,
447,Point Cook,372.5,
448,Point Leo,392.5,
451,Powelltown,385.0,
453,Prahran East,770.0,
455,Preston Lower,495.0,
456,Preston South,495.0,
457,Preston West,495.0,
458,Princes Hill,750.0,
459,Quandong,372.5,
460,Rangeview,460.0,
461,Ravenhall,375.0,
462,Red Hill,392.5,
463,Red Hill South,392.5,
464,Reefton,405.0,
467,Reservoir East,480.0,
468,Reservoir North,480.0,
469,Reservoir South,480.0,
471,Richmond East,743.75,
472,Richmond North,743.75,
473,Richmond South,743.75,
475,Ringwood East,420.0,
476,Ringwood North,440.0,
477,Ripponlea,712.5,
478,Robinson,495.0,
479,Rockbank,375.0,
480,Rosanna,462.5,
481,Rosebud,392.5,
482,Rosebud Plaza,392.5,
485,Rye,392.5,
486,Rythdale,370.0,
487,Safety Beach,392.5,
488,Saint Helena,435.0,
489,Sandhurst,370.0,
490,Sandown Village,460.0,
491,Sandringham,712.5,
492,Sassafras,410.0,
493,Sassafras Gully,410.0,
495,Seabrook,451.25,
497,Seaholme,451.25,
499,Seddon West,550.0,
500,Selby,385.0,
501,Seville,385.0,
502,Seville East,385.0,
503,Sherbrooke,400.0,
504,Shoreham,392.5,
505,Silvan,400.0,
506,Skye,370.0,
507,Smiths Gully,435.0,
508,Somers,392.5,
509,Somerton,385.0,
510,Somerville,370.0,
511,Sorrento,392.5,
512,South Kingsville,550.0,
514,South Morang,407.5,
516,Southbank,810.0,
517,Southland Centre,588.75,
520,Springvale South,440.0,
522,St Andrews Beach,392.5,
523,St Helena,465.0,
525,St Kilda East,737.5,
526,St Kilda West,793.75,
527,Steels Creek,422.5,
528,Strathewen,410.0,
529,Strathmore,495.0,
530,Strathmore Heights,495.0,
533,Sunshine North,442.5,
534,Sunshine West,442.5,
536,Surrey Hills North,555.0,
537,Surrey Hills South,460.0,
539,Syndal,460.0,
540,Tarneit,372.5,
541,Tarrawarra,422.5,
542,Taylors Hill,390.0,
543,Taylors Lakes,390.0,
544,Tecoma,385.0,
546,Templestowe Lower,462.5,
547,The Basin,410.0,
548,The Patch,400.0,
549,The Pines,460.0,
552,Three Bridges,385.0,
553,Tonimbuk,370.0,
554,Tooradin,370.0,
556,Tootgarook,392.5,
557,Tottenham,495.0,
558,Travancore,522.5,
559,Tremont,410.0,
560,Truganina,372.5,
561,Tuerong,392.5,
563,Tyabb,392.5,
564,Tynong,370.0,
565,Tynong North,370.0,
566,University Of Melbourne,770.0,
567,Upper Ferntree Gully,400.0,
568,Upwey,410.0,
570,Vermont South,440.0,
571,Vervale,370.0,
572,Viewbank,462.5,
573,Wandin East,385.0,
574,Wandin North,385.0,
576,Wantirna South,440.0,
577,Warburton,405.0,
578,Warneet,370.0,
579,Warrandyte,447.5,
580,Warrandyte South,440.0,
581,Warranwood,440.0,
582,Watergardens,390.0,
583,Waterways,440.0,
584,Watsonia,465.0,
585,Watsonia North,465.0,
586,Watsons Creek,447.5,
587,Wattle Glen,435.0,
588,Wattle Park,460.0,
589,Waverley Gardens,420.0,
591,Werribee South,372.5,
592,Wesburn,405.0,
595,Westmeadows,390.0,
596,Wheelers Hill,460.0,
597,Wildwood,370.0,
598,Williams Landing,372.5,
600,Williamstown North,530.0,
602,Wishart,670.0,
603,Wollert,385.0,
604,Wonga Park,427.5,
605,Woodstock,380.0,
606,Woori Yallock,385.0,
607,World Trade Centre,770.0,
608,Wyndham Vale,366.25,
609,Yallambie,512.75,
610,Yan Yean,407.5,
611,Yarra Glen,422.5,
612,Yarra Junction,385.0,
613,Yarrambat,407.5,
615,Yarraville West,550.0,
616,Yellingbo,385.0,
617,Yering,417.5,
618,Yuroke,390.0,
0,Albert Park,950.0,44.666666666666664
0,Middle Park,950.0,44.666666666666664
0,West St Kilda,950.0,44.666666666666664
1,Armadale,900.0,41.0
2,Carlton North,785.0,67.0
3,Carlton,770.0,30.5
3,Parkville,770.0,30.5
4,Collingwood,750.0,43.0
4,Abbotsford,750.0,43.0
5,East St Kilda,750.0,60.0
