,LGA,suburb
219,Port Phillip,Ripponlea
220,Bayside,Brighton
221,Bayside,Brighton North
222,Bayside,Dendy
223,Glen Eira,Brighton
224,Glen Eira,Brighton North
225,Glen Eira,Dendy
226,Port Phillip,Brighton
227,Port Phillip,Brighton North
228,Port Phillip,Dendy
229,Bayside,Brighton East
230,Bayside,North Road
231,Glen Eira,Brighton East
232,Glen Eira,North Road
233,Bayside,Hampton East
234,Bayside,Hampton North
235,Kingston,Hampton East
236,Kingston,Hampton North
237,Bayside,Moorabbin
238,Bayside,Wishart
239,Glen Eira,Moorabbin
240,Glen Eira,Wishart
241,Kingston,Moorabbin
242,Kingston,Wishart
243,Bayside,Highett
244,Kingston,Highett
245,Bayside,Sandringham
246,Bayside,Cheltenham
247,Bayside,Cheltenham East
248,Bayside,Cheltenham North
249,Bayside,Southland Centre
250,Kingston,Cheltenham
251,Kingston,Cheltenham East
252,Kingston,Cheltenham North
253,Kingston,Southland Centre
254,Bayside,Beaumaris
255,Bayside,Black Rock
256,Bayside,Black Rock North
257,Bayside,Cromer
258,Kingston,Beaumaris
259,Kingston,Black Rock
260,Kingston,Black Rock North
261,Kingston,Cromer
262,Bayside,Mentone
263,Bayside,Mentone East
264,Bayside,Moorabbin Airport
265,Kingston,Mentone
266,Kingston,Mentone East
267,Kingston,Moorabbin Airport
268,Bayside,Bentleigh
269,Bayside,Mckinnon
270,Bayside,Ormond
271,Bayside,Patterson
272,Glen Eira,Bentleigh
273,Glen Eira,Mckinnon
274,Glen Eira,Ormond
275,Glen Eira,Patterson
276,Kingston,Bentleigh
277,Kingston,Mckinnon
278,Kingston,Ormond
279,Kingston,Patterson
280,Boroondara,Abbotsford
281,Yarra,Abbotsford
282,Boroondara,Cotham
283,Boroondara,Kew
284,Yarra,Cotham
285,Yarra,Kew
286,Boroondara,Balwyn
287,Boroondara,Balwyn East
288,Whitehorse,Balwyn
289,Whitehorse,Balwyn East
290,Boroondara,Doncaster
291,Manningham,Doncaster
292,Whitehorse,Doncaster
293,Boroondara,Burnley
294,Boroondara,Burnley North
295,Boroondara,Cremorne
296,Boroondara,Richmond
297,Boroondara,Richmond East
298,Boroondara,Richmond North
299,Boroondara,Richmond South
300,Melbourne,Burnley
301,Melbourne,Burnley North
302,Melbourne,Cremorne
303,Melbourne,Richmond
304,Melbourne,Richmond East
305,Melbourne,Richmond North
306,Melbourne,Richmond South
307,Stonnington,Burnley
308,Stonnington,Burnley North
309,Stonnington,Cremorne
310,Stonnington,Richmond
311,Stonnington,Richmond East
312,Stonnington,Richmond North
313,Stonnington,Richmond South
314,Yarra,Burnley
315,Yarra,Burnley North
316,Yarra,Cremorne
317,Yarra,Richmond
318,Yarra,Richmond East
319,Yarra,Richmond North
320,Yarra,Richmond South
321,Boroondara,Auburn South
322,Boroondara,Hawthorn
323,Boroondara,Hawthorn North
324,Boroondara,Hawthorn West
325,Stonnington,Auburn South
326,Stonnington,Hawthorn
327,Stonnington,Hawthorn North
328,Stonnington,Hawthorn West
329,Yarra,Auburn South
330,Yarra,Hawthorn
331,Yarra,Hawthorn North
332,Yarra,Hawthorn West
333,Boroondara,Auburn
334,Boroondara,Hawthorn East
335,Stonnington,Auburn
336,Stonnington,Hawthorn East
337,Boroondara,Camberwell
338,Boroondara,Camberwell North
339,Boroondara,Camberwell South
340,Boroondara,Camberwell West
341,Boroondara,Hartwell
342,Boroondara,Middle Camberwell
343,Whitehorse,Camberwell
344,Whitehorse,Camberwell North
345,Whitehorse,Camberwell South
346,Whitehorse,Camberwell West
347,Whitehorse,Hartwell
348,Whitehorse,Middle Camberwell
349,Boroondara,Bennettswood
350,Boroondara,Burwood
351,Boroondara,Surrey Hills South
352,Monash,Bennettswood
353,Monash,Burwood
354,Monash,Surrey Hills South
355,Whitehorse,Bennettswood
356,Whitehorse,Burwood
357,Whitehorse,Surrey Hills South
358,Boroondara,Camberwell East
359,Boroondara,Canterbury
360,Boroondara,Mont Albert
361,Boroondara,Surrey Hills
362,Boroondara,Surrey Hills North
363,Whitehorse,Mont Albert
364,Whitehorse,Surrey Hills
365,Whitehorse,Surrey Hills North
366,Boroondara,Box Hill North
367,Boroondara,Kerrimuir
368,Boroondara,Mont Albert North
369,Manningham,Box Hill North
370,Manningham,Kerrimuir
371,Manningham,Mont Albert North
372,Whitehorse,Box Hill North
373,Whitehorse,Kerrimuir
374,Whitehorse,Mont Albert North
375,Boroondara,Hawksburn
376,Boroondara,Toorak
377,Stonnington,Hawksburn
378,Stonnington,Toorak
379,Yarra,Hawksburn
380,Yarra,Toorak
381,Boroondara,Kooyong
382,Boroondara,Malvern
383,Boroondara,Malvern North
384,Glen Eira,Kooyong
385,Glen Eira,Malvern
386,Glen Eira,Malvern North
387,Stonnington,Kooyong
388,Stonnington,Malvern
389,Stonnington,Malvern North
390,Boroondara,Caulfield East
391,Boroondara,Central Park
392,Boroondara,Darling
393,Boroondara,Malvern East
394,Glen Eira,Caulfield East
395,Glen Eira,Central Park
396,Glen Eira,Darling
397,Glen Eira,Malvern East
398,Monash,Caulfield East
399,Monash,Central Park
400,Monash,Darling
401,Monash,Malvern East
402,Stonnington,Caulfield East
403,Stonnington,Central Park
404,Stonnington,Darling
405,Stonnington,Malvern East
406,Boroondara,Glen Iris
407,Monash,Glen Iris
408,Stonnington,Glen Iris
409,Whitehorse,Glen Iris
410,Boroondara,Ashburton
411,Boroondara,Ashwood
412,Monash,Ashburton
413,Monash,Ashwood
414,Stonnington,Ashburton
415,Stonnington,Ashwood
416,Brimbank,Brooklyn
417,Brimbank,Kingsville
418,Brimbank,Kingsville West
419,Brimbank,Maidstone
420,Brimbank,Tottenham
421,Brimbank,West Footscray
422,Hobsons Bay,Brooklyn
423,Hobsons Bay,Kingsville
424,Hobsons Bay,Kingsville West
425,Hobsons Bay,Maidstone
426,Hobsons Bay,Tottenham
427,Hobsons Bay,West Footscray
428,Maribyrnong,Brooklyn
429,Maribyrnong,Kingsville
430,Maribyrnong,Kingsville West
431,Maribyrnong,Maidstone
432,Maribyrnong,Tottenham
433,Maribyrnong,West Footscray
434,Moonee Valley,Brooklyn
435,Moonee Valley,Kingsville
436,Moonee Valley,Kingsville West
437,Moonee Valley,Maidstone
438,Moonee Valley,Tottenham
439,Moonee Valley,West Footscray
440,Wyndham,Brooklyn
441,Wyndham,Kingsville
442,Wyndham,Kingsville West
443,Wyndham,Maidstone
444,Wyndham,Tottenham
445,Wyndham,West Footscray
446,Brimbank,Braybrook
447,Brimbank,Braybrook North
448,Brimbank,Robinson
449,Maribyrnong,Braybrook
450,Maribyrnong,Braybrook North
451,Maribyrnong,Robinson
452,Moonee Valley,Braybrook
453,Moonee Valley,Braybrook North
454,Moonee Valley,Robinson
455,Brimbank,Albion
456,Brimbank,Glengala
457,Brimbank,Sunshine North
458,Brimbank,Sunshine West
459,Maribyrnong,Albion
460,Maribyrnong,Glengala
461,Maribyrnong,Sunshine North
462,Maribyrnong,Sunshine West
463,Moonee Valley,Albion
464,Moonee Valley,Glengala
465,Moonee Valley,Sunshine North
466,Moonee Valley,Sunshine West
467,Wyndham,Albion
468,Wyndham,Glengala
469,Wyndham,Sunshine North
470,Wyndham,Sunshine West
471,Brimbank,Albanvale
472,Brimbank,Kealba
473,Brimbank,Kings Park
474,Brimbank,St Albans
475,Melton,Albanvale
476,Melton,Kealba
477,Melton,Kings Park
478,Melton,St Albans
479,Brimbank,Ardeer
480,Brimbank,Deer Park East
481,Brimbank,Burnside
482,Brimbank,Burnside Heights
483,Brimbank,Cairnlea
484,Brimbank,Caroline Springs
485,Brimbank,Deer Park
486,Brimbank,Deer Park North
487,Brimbank,Ravenhall
488,Melton,Burnside
489,Melton,Burnside Heights
490,Melton,Cairnlea
491,Melton,Caroline Springs
492,Melton,Deer Park
493,Melton,Deer Park North
494,Melton,Ravenhall
495,Brimbank,Mambourin
496,Brimbank,Mount Cottrell
497,Brimbank,Wyndham Vale
498,Greater Geelong,Mambourin
499,Greater Geelong,Mount Cottrell
500,Greater Geelong,Wyndham Vale
501,Melton,Mambourin
502,Melton,Mount Cottrell
503,Melton,Wyndham Vale
504,Moorabool,Mambourin
505,Moorabool,Mount Cottrell
506,Moorabool,Wyndham Vale
507,Wyndham,Mambourin
508,Wyndham,Mount Cottrell
509,Wyndham,Wyndham Vale
510,Brimbank,Laverton North
511,Hobsons Bay,Laverton North
512,Wyndham,Laverton North
513,Brimbank,Hoppers Crossing
514,Brimbank,Tarneit
515,Brimbank,Truganina
516,Melton,Hoppers Crossing
517,Melton,Tarneit
518,Melton,Truganina
519,Wyndham,Hoppers Crossing
520,Wyndham,Tarneit
521,Wyndham,Truganina
522,Brimbank,Cocoroc
523,Brimbank,Derrimut
524,Brimbank,Point Cook
525,Brimbank,Quandong
526,Brimbank,Werribee
527,Brimbank,Werribee South
528,Greater Geelong,Cocoroc
529,Greater Geelong,Derrimut
530,Greater Geelong,Point Cook
531,Greater Geelong,Quandong
532,Greater Geelong,Werribee
533,Greater Geelong,Werribee South
534,Hobsons Bay,Cocoroc
535,Hobsons Bay,Derrimut
536,Hobsons Bay,Point Cook
537,Hobsons Bay,Quandong
538,Hobsons Bay,Werribee
539,Hobsons Bay,Werribee South
540,Melton,Cocoroc
541,Melton,Derrimut
542,Melton,Point Cook
543,Melton,Quandong
544,Melton,Werribee
545,Melton,Werribee South
546,Wyndham,Cocoroc
547,Wyndham,Derrimut
548,Wyndham,Point Cook
549,Wyndham,Quandong
550,Wyndham,Werribee
551,Wyndham,Werribee South
552,Brimbank,Keilor East
553,Moonee Valley,Keilor East
554,Brimbank,Avondale Heights
555,Maribyrnong,Avondale Heights
556,Moonee Valley,Avondale Heights
557,Brimbank,Keilor
558,Brimbank,Keilor North
559,Hume,Keilor
560,Hume,Keilor North
561,Brimbank,Delahey
562,Brimbank,Hillside
563,Brimbank,Sydenham
564,Brimbank,Taylors Hill
565,Hume,Delahey
566,Hume,Hillside
567,Hume,Sydenham
568,Hume,Taylors Hill
569,Melton,Delahey
570,Melton,Hillside
571,Melton,Sydenham
572,Melton,Taylors Hill
573,Brimbank,Keilor Downs
574,Brimbank,Keilor Lodge
575,Brimbank,Taylors Lakes
576,Brimbank,Watergardens
577,Brimbank,Airport West
578,Brimbank,Keilor Park
579,Brimbank,Niddrie
580,Hume,Airport West
581,Hume,Keilor Park
582,Hume,Niddrie
583,Moonee Valley,Airport West
584,Moonee Valley,Keilor Park
585,Moonee Valley,Niddrie
586,Moreland,Airport West
587,Moreland,Keilor Park
588,Moreland,Niddrie
589,Brimbank,Gladstone Park
590,Brimbank,Gowanbrae
591,Brimbank,Tullamarine
592,Hume,Gladstone Park
593,Hume,Gowanbrae
594,Hume,Tullamarine
595,Moonee Valley,Gladstone Park
596,Moonee Valley,Gowanbrae
597,Moonee Valley,Tullamarine
598,Moreland,Gladstone Park
599,Moreland,Gowanbrae
600,Moreland,Tullamarine
601,Brimbank,Melbourne Airport
602,Hume,Melbourne Airport
603,Brimbank,Plumpton
604,Brimbank,Rockbank
605,Melton,Plumpton
606,Melton,Rockbank
607,Brimbank,Diggers Rest
608,Hume,Diggers Rest
609,Macedon Ranges,Diggers Rest
